1 2;76;40;8100;428000
1 long saison;16;-2;-2;-2
1 long;51;-2;10;160
2 propose;18;-2;-2;-2
3 francis;26;-2;-2;30
4 ans;94;38;2400;3400
4 candidats;59;-2;-2;-2
5 ans fait;42;-2;-2;-2
5 ans;90;-2;-2;-2
5 étoiles;26;-2;-2;-2
5e saison;22;26;390;520
6h 9h;0;-2;-2;-2
8 chances gagner;44;-2;-2;-2
8 chances;17;-2;10;70
9 ans;85;18;1000;1400
10 minutes;64;36;3600;90800
11 ans;92;28;1600;2500
11 saisons;10;-2;-2;-2
12 ans;63;27;2400;3600
12 mars 2021;0;30;390;650
12 mars;1;33;1000;4300
15 episodes;9;-2;-2;50
18 ans;51;25;8100;11600
19 enfants;42;-2;10;40
50 ans;71;33;9900;15200
66 minutes grand;4;-2;-2;-2
66 minutes;39;34;9900;11100
80 90 2000;18;-2;40;400
80 90;55;28;260;23300
110 mètres haies;0;39;2400;3100
110 mètres;55;-2;0;-2
a années;61;-2;-2;-2
a anniversaire;64;-2;-2;-2
a assurance;79;31;1600;6100
a bon;78;31;590;4900
a changé;38;47;390;730
a coeur brisé;41;-2;10;10
a coeur;72;38;320;490
a côtés figure;35;-2;-2;-2
a côtés;10;-2;0;-2
a coup;73;31;590;6100
a déclic;15;-2;-2;-2
a don;81;56;50;2500
a dos;53;-2;10;450
a engage;52;-2;-2;-2
a idée;62;-2;0;-2
a las vegas;59;-2;10;220
a las;67;31;1600;199600
a nouvelle;41;-2;10;50
a pouvoir envoyer;17;-2;-2;-2
a pouvoir;77;-2;-2;-2
a prendre;83;38;320;540
a propres;50;-2;-2;-2
a seul but;27;-2;-2;-2
a seul;67;-2;-2;-2
a toutes;57;32;1300;2300
abordés sujets;0;-2;-2;-2
accidents vie;73;-2;-2;-2
accro sport;48;28;590;830
acteur vu;54;-2;-2;-2
acteurs société;21;-2;0;-2
action rayon;6;-2;20;20
actives femmes;0;-2;-2;-2
activités sportives;14;46;4400;5600
actrice anny duperey;31;-2;0;-2
actrice anny;18;-2;-2;-2
actualité aller;0;-2;-2;-2
actualité bfmtv;17;-2;-2;-2
actualité cinéma;32;56;1900;2400
actualité culturelle;41;59;480;700
actualité défense;12;52;2900;3100
actualité derniers;14;-2;-2;-2
actualité économique;24;78;6600;8500
actualité entretien;0;-2;0;-2
actualité européenne;16;56;880;1300
actualité images;5;-2;-2;-2
actualité jour;44;100;1600;1700
actualité littéraire;0;63;1300;1600
actualité musicale;0;54;1900;2300
actualité nationale;21;99;8100;12900
actualité place;0;-2;-2;-2
actualité point;23;-2;30;30
actualité politique;45;72;4400;5900
actualité sportive;30;79;33100;37700
actualité toutes;5;-2;-2;-2
actualités sport;46;79;33100;37700
actus jour;32;94;1600;1700
adapté série;8;-2;-2;-2
adopter nouveau;28;-2;-2;-2
adresses quartier;0;-2;-2;-2
affaire criminelle;41;44;1300;1500
agence autres;4;-2;-2;-2
agenda évènements;0;-2;-2;-2
agent sécurité;76;44;1600;3800
aider gagner;0;-2;-2;-2
aides sociales est;0;-2;-2;-2
aides sociales;15;62;14800;27100
air donne;18;-2;-2;-2
air mature;59;-2;-2;30
aires repos;4;-2;-2;-2
aller camper;0;-2;20;80
amélie carrouer;0;21;9900;10100
aménagement décoration;15;-2;10;70
amoureux jolie;28;-2;-2;-2
amours interdites;27;-2;10;260
amuser faire;15;-2;-2;-2
analyse didactique;54;25;140;280
analyse mode;24;-2;20;40
animaux émission;33;-2;0;-2
animaux objets;0;-2;-2;-2
anime toute;15;-2;-2;-2
animés moment;0;-2;-2;-2
anniversaire marina;28;-2;10;50
appliquer loi;59;-2;-2;-2
apprendre tous;9;-1;-1;-1
apprendre vivre;45;-1;-1;-1
are ill;0;-1;-1;-1
arrivent retard;0;-1;-1;-1
art devenir;6;-1;-1;-1
assemblée nationale;15;-1;-1;-1
assurance ouvrir;57;-1;-1;-1
aurélie casse;28;-1;-1;-1
auto moto;62;-1;-1;-1
aventures extraordinaires;7;-1;-1;-1
avoir marre;28;-1;-1;-1
bateau fait;33;-1;-1;-1
benoît delépine;0;-1;-1;-1
bois veille;28;-1;-1;-1
boy veut;0;-1;-1;-1
chansons écoutées;0;-1;-1;-1
choisir voiture;51;-1;-1;-1
clip offre;27;-1;-1;-1
coeur actu;0;-1;-1;-1
coeur travail;18;-1;-1;-1
compagnie guide;7;-1;-1;-1
courts métrages;5;-1;-1;-1
croise route;15;-1;-1;-1
dernière exposition;0;-1;-1;-1
deux heures;28;-1;-1;-1
deux visions;0;-1;-1;-1
diffusé heure;28;-1;-1;-1
dort exemple;28;-1;-1;-1
dressage équestre;0;-1;-1;-1
française internationale;29;-1;-1;-1
fruits légumes;62;-1;-1;-1
marche europe;33;-1;-1;-1
